3626,5562
5210,3780
2306,5081
5578,3273
5749,6109
794,3395
5198,4731
3766,5336
189,6086
896,923
3970,6006
958,269
6106,2266
2302,1599
4427,5855
179,5648
1479,1568
3302,5093
5147,4077
5651,5733
4286,4326
5089,6004
3812,3776
3151,1090
1981,5867
2627,2895
3654,1362
2558,1286
2966,4115
2038,5481
3239,528
3,4166
3808,6029
2953,5343
3868,4223
4696,3789
3820,1896
3298,287
4813,3341
3187,1779
5515,1973
3157,3872
2311,467
6100,3536
4485,5968
2969,1011
91,4174
337,4600
4105,5325
1646,1027
5534,1834
3857,90
3035,177
5054,481
6049,6005
783,4189
3207,2372
1960,5211
452,5995
1446,2288
1607,5582
720,895
3187,690
2439,481
989,2586
2239,3237
1531,921
3983,5812
4848,1469
5109,5434
68,604
4828,2791
3444,680
2423,3491
2019,1422
6113,3754
3099,999
2393,599
482,2847
3277,5541
2796,3978
346,2903
2476,2529
3097,4406
304,3023
12,597
805,2842
1905,2422
5485,2509
2100,4391
3475,4249
463,187
1627,2709
2100,4336
2906,1560
890,4755
3207,3365
3253,661
111,1846
3391,5433
4445,5681
5729,2478
70,1428
5070,2718
4303,656
4348,2718
5544,1904
4384,4171
4500,5559
4051,2177
2829,2932
3163,5222
512,5795
1976,1814
1014,1262
1916,2338
3820,3961
4690,5449
1463,3081
3150,816
4220,1204
5064,5171
4215,5810
840,2371
2201,423
4496,3121
697,1788
2179,1103
1598,4429
5646,3374
1621,399
3262,2436
3779,1912
2923,5183
1494,1309
1372,2387
3277,4710
2474,1563
1621,1538
914,4203
4393,458
4993,1997
1994,1378
521,2760
3184,4700
2583,5890
5523,4864
415,3387
1494,5254
1908,914
3570,2533
4446,4387
4205,4001
3968,1943
2736,2780
228,5303
558,3013
6106,4847
3287,3992
1558,4140
1416,4094
2090,801
1281,5329
1827,4199
4801,779
323,4075
2180,4718
4055,3823
2753,4366
947,4209
371,5610
226,1492
2912,4629
5818,334
4482,1317
5234,449
2991,335
4582,2673
1151,5908
5838,2422
622,4674
1719,5606
3566,4027
4373,4485
3465,1916
400,337
2516,119
4686,5246
5906,74
5914,2169
3114,3910
4418,1048
1450,1856
179,1042
4006,1982
2319,1718
4422,2242
197,5201
4253,4153
1187,1636
3396,5894
4382,4965
4114,2664
4380,2086
1787,5320
3138,2251
4916,361
657,3126
3067,287
4026,624
38,5718
1479,4909
2203,49
5199,1765
1765,4360
4925,5171
5934,2177
2969,286
4629,4623
4279,1715
5611,1972
2234,4636
3633,5542
4728,3325
5750,4837
2216,2069
3127,3980
1909,2253
666,2105
1435,4025
4513,516
4789,5120
4229,2128
3763,5284
5411,3110
5867,158
1443,874
4809,2479
1743,1492
1574,2521
3335,423
5822,3890
2068,1073
1757,1436
927,5295
3138,2721
654,478
2457,2434
5533,1137
5180,5610
5618,1330
3540,285
6111,3863
4649,418
4684,3871
